variant,alpha,ndcg10,ndcg1,ndcg3,ndcg5,ndcg30,ndcg50,ndcg100
V2_OPEN_DOC_only,1.1,0.5933858644574458,0.6194968553459121,0.6416699717769145,0.6249842676353583,0.5344657933892589,0.4757617036244488,0.3847001520219176
V2_OPEN_DOC_only,1.2,0.596035435597641,0.6194968553459121,0.6449385861671557,0.626716153687906,0.5350363430307898,0.47634875959907746,0.3850537222511799
V2_OPEN_DOC_only,1.3,0.5963362564884916,0.6257861635220127,0.6460278743121676,0.6283286003423174,0.5339407674132289,0.4770213812097823,0.3854283341752904
V2_OPEN_DOC_only,1.4,0.5969516561733582,0.6257861635220127,0.6460278743121676,0.6274992055248763,0.5344818192098494,0.4768934268433972,0.3855897169061032
V2_OPEN_DOC_only,1.5,0.5984658661305253,0.6257861635220127,0.6468007365505888,0.6272325844348329,0.5345796114097273,0.47731725776848805,0.3858544772206162
V2_OPEN_DOC_only,1.6,0.6009541699422182,0.6257861635220127,0.6455754452584067,0.6271364733338721,0.5341603256887383,0.47735370971286295,0.38594332843594686
V2_OPEN_DOC_only,1.7,0.6038837890575005,0.6257861635220127,0.6489133149060622,0.6320772261160332,0.5352720798711976,0.4777047744748248,0.3863754619675562
V2_OPEN_DOC_only,1.8,0.607539630239985,0.6383647798742139,0.6556442629747739,0.6350399087146109,0.536208704424157,0.4786293369783511,0.3870382645338954
V2_OPEN_DOC_only,1.9,0.6082441916833841,0.6383647798742139,0.6556442629747739,0.6431123312760784,0.5364013588693807,0.47837433320021616,0.3872476454233099
V2_OPEN_DOC_only,2.0,0.6095070962963103,0.6383647798742139,0.6556442629747739,0.6464130879430554,0.5366300258679804,0.47905394898790604,0.3874903696143975
V2_OPEN_DOC_only,2.1,0.6092176785020693,0.6383647798742139,0.6556442629747739,0.644762709609567,0.5360057810131853,0.47935661367959,0.3876281175160218
V2_OPEN_DOC_only,2.2,0.6098161944523183,0.6383647798742139,0.6556442629747739,0.6473317568099908,0.5356372634632259,0.47914336800776375,0.3877642871939988
V2_OPEN_DOC_only,2.3,0.609802161837301,0.6383647798742139,0.6571199822389964,0.6474796294690732,0.5357935470895423,0.4793402322022583,0.38804295321067533
V2_OPEN_DOC_only,2.4,0.6116889793108904,0.6509433962264153,0.66520143558591,0.6480887364474397,0.5357691991583873,0.48013933447100166,0.38862781892651915
V2_OPEN_DOC_only,2.5,0.6132037639766874,0.6509433962264153,0.6673807618311393,0.6486511485804121,0.5358115308798318,0.48025696127060696,0.3887253241488228
V2_OPEN_DOC_only,2.6,0.6144988905696601,0.6509433962264153,0.6677671929503498,0.6498491014856977,0.535921688106346,0.4804582575403903,0.38904901017823024
V2_OPEN_DOC_only,2.7,0.6145837861787573,0.6509433962264153,0.6676419789643296,0.6498232207066368,0.5358612444847877,0.48002482296241733,0.38899714822875153
V2_OPEN_DOC_only,2.8,0.6151501426040539,0.6509433962264153,0.6691176982285522,0.6499710933657193,0.5358230047975563,0.47998352440657516,0.38912073448552126
V2_OPEN_DOC_only,2.9,0.6157210357694539,0.6509433962264153,0.6691176982285522,0.6509454871572244,0.5363904713259797,0.47995816422784116,0.3892478050540714
V2_OPEN_DOC_only,3.0,0.6156771915129452,0.6509433962264153,0.6702077363287694,0.6519461588658091,0.5383951544026827,0.48027016257366906,0.3895004634186142
V2_OPEN_DOC_only,3.1,0.6168438315072521,0.6509433962264153,0.6698213052095588,0.6526790233945851,0.538673184630123,0.48024591608305917,0.389478684600551
