qid,n_sbr,n_random_pool,sbr_qrel_mean,rand_qrel_mean,sbr_colbert_pct_mean,rand_colbert_pct_mean,sbr_simcse_to_top4_mean,rand_simcse_to_top4_mean
952284,4,81,1.0,0.08641975308641975,89.3939393939394,40.404040404040394,0.793428223580122,0.7336376577983668
975079,4,81,0.75,0.04938271604938271,89.3939393939394,40.404040404040394,0.8481473624706268,0.7184506407306518
1006728,4,81,0.25,0.024691358024691357,91.41414141414141,40.404040404040394,0.8291531428694725,0.8107744010142338
1040198,4,81,2.25,0.07407407407407407,90.65656565656565,40.404040404040394,0.8098791725933552,0.6284338016936808
1104300,4,81,2.0,1.2345679012345678,87.37373737373736,40.404040404040394,0.8696495890617371,0.8160062599697231
1104447,4,81,3.0,0.8024691358024691,87.62626262626262,40.404040404040394,0.8655589558184147,0.8274057343786145
1107704,4,81,0.75,0.07407407407407407,88.63636363636364,40.404040404040394,0.8223351091146469,0.7549274808462755
1107821,4,81,1.5,0.24691358024691357,91.16161616161617,40.404040404040394,0.8510736711323261,0.6937468303942386
1109840,4,81,1.75,0.20987654320987653,92.17171717171716,40.404040404040394,0.8196328654885292,0.7258819115382654
1110996,4,81,2.0,0.8271604938271605,85.85858585858585,40.404040404040394,0.8705317564308643,0.8173754851759216
1111577,4,81,2.0,0.691358024691358,80.8080808080808,40.404040404040394,0.8082344271242619,0.7240131593044893
1113361,4,81,2.75,0.4567901234567901,87.87878787878788,40.404040404040394,0.9033599384129047,0.7564878027748179
1117243,4,81,2.0,0.5802469135802469,85.1010101010101,40.404040404040394,0.8155995458364487,0.754943272397842
1118716,4,81,1.5,0.4567901234567901,91.66666666666667,40.404040404040394,0.8292649462819099,0.7565221742347434
1121909,4,81,1.75,0.4074074074074074,94.1919191919192,40.404040404040394,0.8513467684388161,0.7694966055360841
1128632,4,81,2.0,0.38271604938271603,87.87878787878788,40.404040404040394,0.77353385835886,0.7598599607561841
1129560,4,81,1.0,0.14814814814814814,91.16161616161617,40.404040404040394,0.8251716084778309,0.6881757023525826
